School_ID,Name_of_School,Elementary_Middle_High_School,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,Family_Involvement_Score,Parent_Engagement_Score,Average_Student_Attence,Rate_of_Misconducts,Average_Teacher_Attence,Students_Taking_Algebra,Students_Passing_Algebra,X9_Grade_Explore_2009,X9_Grade_Explore_2010,X10_Grade_Plan_2009,X10_Grade_Plan_2010,X11_Grade_Average_ACT_2011,Net_Change_EXPLORE_PLAN,Net_Change_PLAN_ACT,College_Eligibility,Graduation_Rate,College_Enrollment_Rate,College_Enrollment,Freshman_on_Track_Rate,Probation
610269,John T McCutcheon Elementary School,ES,Not on Probation,Level 2,36,52,94,8.8,94.8,,,,,,,,,,,,,355,,0
610366,Charles H Wacker Elementary School,ES,Probation,Level 2,,50,93.4,11.5,93.4,,,,,,,,,,,,,246,,1
610115,Park Manor Elementary School,ES,Probation,Level 3,42,55,94.9,16.6,96.3,,,,,,,,,,,,,352,,1
609795,George Rogers Clark Elementary School,ES,Not on Probation,Level 1,,47,93.9,14.4,96.4,29,,,,,,,,,,,,297,,0
610354,North River Elementary School,ES,Not on Probation,Level 2,60,50,95.6,20.1,96,,,,,,,,,,,,,359,,0
610146,Paul Revere Elementary School,ES,Probation,Level 3,,49,92.4,33.3,94.6,,,,,,,,,,,,,320,,1
609898,John F Eberhart Elementary School,ES,Probation,Level 3,41,,95.3,13.1,95.6,15.9,17.2,,,,,,,,,,,1777,,1
610119,Elizabeth Peabody Elementary School,ES,Not on Probation,Level 2,58,52,95.2,7.6,97,,,,,,,,,,,,,289,,0
610020,Francis Scott Key Elementary School,ES,Probation,Level 2,,44,91.9,39.6,94,,,,,,,,,,,,,301,,1
610037,Arthur A Libby Elementary School,ES,Probation,Level 3,,48,90.8,21.6,95.1,18,,,,,,,,,,,,539,,1
610170,Columbia Explorers Elementary Academy,ES,Not on Probation,Level 2,64,52,95.4,8.9,97.1,,,,,,,,,,,,,1038,,0
609826,Rosario Castellanos Elementary School,ES,Not on Probation,Level 2,24,46,96.3,24.3,96.9,,,,,,,,,,,,,525,,0
610390,Hyman G Rickover Naval Academy High School,HS,Not on Probation,Level 2,,53,92.9,15.4,95.9,,,15.2,15.4,16.5,15.8,18.7,0.6,2.2,23.4,63,63.5,423,90.7,0
610530,South Shore Fine Arts Academy,ES,Not on Probation,Not Enough Data,,56,93.6,22.4,96.3,,,,,,,,,,,,,255,,0
610044,James Russell Lowell Elementary School,ES,Probation,Level 2,,45,93.2,11.2,95.7,,,,,,,,,,,,,593,,1
609900,George W Curtis Elementary School,ES,Probation,Level 3,,68,93.8,18.2,98.1,,,,,,,,,,,,,504,,1
610206,Mark Twain Elementary School,ES,Not on Probation,Level 1,76,60,96.3,5.3,97.8,,,,,,,,,,,,,1161,,0
610148,Cesar E Chavez Multicultural Academic Center Elementary School,ES,Not on Probation,Level 1,52,45,95.1,11.1,96.1,44.6,18.5,,,,,,,,,,,915,,0
610147,Philip Rogers Elementary School,ES,Not on Probation,Level 1,76,53,96.4,3,95.1,,,,,,,,,,,,,735,,0
609804,Daniel Boone Elementary School,ES,Not on Probation,Level 1,50,50,95.5,10.5,95.4,,,,,,,,,,,,,752,,0
610133,Laura S Ward Elementary School,ES,Probation,Level 3,,,92.9,3.9,97.5,,,,,,,,,,,,,429,,1
610179,Washington D Smyser Elementary School,ES,Not on Probation,Level 1,,,95.5,4.9,97.2,,,,,,,,,,,,,1047,,0
610252,Robert Nathaniel Dett Elementary School,ES,Not on Probation,Level 1,,51,94.4,6.9,94.8,,,,,,,,,,,,,250,,0
610405,Suder Montessori Magnet Elementary School,ES,Not on Probation,Level 1,,,96.6,6.5,95.7,,,,,,,,,,,,,351,,0
610061,William J & Charles H Mayo Elementary School,ES,Not on Probation,Level 2,55,50,95.3,26,95.2,,,,,,,,,,,,,453,,0
609929,Robert Fulton Elementary School,ES,Probation,Level 2,41,45,95.1,10.1,96.8,,,,,,,,,,,,,466,,1
609719,Lake View High School,HS,Not on Probation,Level 2,,49,87.7,8.5,96.2,,,15.3,15.8,16.1,16.7,17.8,1.4,1.7,36.6,81.4,62.8,1500,87.3,0
610207,John H Vanderpoel Elementary Magnet School,ES,Not on Probation,Level 2,,55,97.2,0.3,96.2,,,,,,,,,,,,,317,,0
609768,Hope College Preparatory High School,HS,Probation,Level 3,51,,72.2,24,94.3,,,12.3,13,13.7,13.5,15,1.2,1.3,16.7,55.2,58.2,561,63.6,1
609955,Walter Q Gresham Elementary School,ES,Probation,Level 2,49,48,95.5,35.4,95,,,,,,,,,,,,,359,,1
610022,Joyce Kilmer Elementary School,ES,Not on Probation,Level 2,43,49,96,15.6,96.9,,,,,,,,,,,,,886,,0
610120,Ferdinand Peck Elementary School,ES,Not on Probation,Level 1,43,44,96.3,1.2,97.2,17.8,87.5,,,,,,,,,,,1560,,0
609793,Nicholson Technology Academy,ES,Not on Probation,Level 2,37,,93.4,6,97,,,,,,,,,,,,,464,,0
610209,Alessandro Volta Elementary School,ES,Not on Probation,Level 2,61,51,96.4,22.5,95.9,31.6,65.2,,,,,,,,,,,1023,,0
